
  ----- YM PROFILES ------------------------------------------

         ym          U         u'          W         w'          P         p'
  8.26441102E-01  9.84718119E-01  1.49653392E-01  5.80204062E-04  7.32738296E-02 -3.15499732E-03  9.41645677E-03
  8.29712031E-01  9.80327249E-01  1.50911871E-01  5.61847392E-04  7.31953435E-02 -3.09742700E-03  9.42119655E-03
  8.32938423E-01  9.75849341E-01  1.52169565E-01  5.43386997E-04  7.31119295E-02 -3.03900035E-03  9.42464380E-03
  8.36120884E-01  9.71280364E-01  1.53425564E-01  5.24867923E-04  7.30236485E-02 -2.97977466E-03  9.42680156E-03
  8.39260012E-01  9.66616268E-01  1.54678924E-01  5.06334379E-04  7.29304378E-02 -2.91980844E-03  9.42767421E-03
  8.42356398E-01  9.61853000E-01  1.55928630E-01  4.87829316E-04  7.28321037E-02 -2.85916139E-03  9.42726739E-03
  8.45410623E-01  9.56986515E-01  1.57173560E-01  4.69394758E-04  7.27283246E-02 -2.79789444E-03  9.42558816E-03
  8.48423262E-01  9.52012787E-01  1.58412457E-01  4.51073013E-04  7.26186620E-02 -2.73606979E-03  9.42264516E-03
  8.51394880E-01  9.46927809E-01  1.59643918E-01  4.32908426E-04  7.25025794E-02 -2.67375093E-03  9.41844872E-03
  8.54326037E-01  9.41727591E-01  1.60866393E-01  4.14949076E-04  7.23794665E-02 -2.61100262E-03  9.41301103E-03
  8.57217283E-01  9.36408157E-01  1.62078182E-01  3.97247784E-04  7.22486659E-02 -2.54789091E-03  9.40634614E-03
  8.60069161E-01  9.30965535E-01  1.63277441E-01  3.79862042E-04  7.21095003E-02 -2.48448304E-03  9.39846991E-03
  8.62882208E-01  9.25395752E-01  1.64462189E-01  3.62852811E-04  7.19612991E-02 -2.42084731E-03  9.38939985E-03
  8.65656953E-01  9.19694821E-01  1.65630312E-01  3.46282431E-04  7.18034202E-02 -2.35705290E-03  9.37915498E-03
  8.68393916E-01  9.13858740E-01  1.66779567E-01  3.30212105E-04  7.16352669E-02 -2.29316962E-03  9.36775557E-03
  8.71093612E-01  9.07883481E-01  1.67907595E-01  3.14699368E-04  7.14562989E-02 -2.22926765E-03  9.35522304E-03
  8.73756549E-01  9.01764992E-01  1.69011915E-01  2.99795894E-04  7.12660358E-02 -2.16541729E-03  9.34157984E-03
  8.76383228E-01  8.95499194E-01  1.70089936E-01  2.85545794E-04  7.10640550E-02 -2.10168868E-03  9.32684952E-03
  8.78974141E-01  8.89081984E-01  1.71138953E-01  2.71984424E-04  7.08499846E-02 -2.03815159E-03  9.31105672E-03
  8.81529777E-01  8.82509243E-01  1.72156154E-01  2.59137691E-04  7.06234933E-02 -1.97487513E-03  9.29422733E-03
  8.84050614E-01  8.75776841E-01  1.73138622E-01  2.47021794E-04  7.03842786E-02 -1.91192757E-03  9.27638859E-03
  8.86537128E-01  8.68880648E-01  1.74083338E-01  2.35643342E-04  7.01320553E-02 -1.84937614E-03  9.25756918E-03
  8.88989785E-01  8.61816549E-01  1.74987191E-01  2.24999815E-04  6.98665451E-02 -1.78728679E-03  9.23779933E-03
  8.91409047E-01  8.54580455E-01  1.75846979E-01  2.15080288E-04  6.95874688E-02 -1.72572405E-03  9.21711096E-03
  8.93795368E-01  8.47168325E-01  1.76659421E-01  2.05866358E-04  6.92945416E-02 -1.66475081E-03  9.19553771E-03
  8.96149196E-01  8.39576182E-01  1.77421163E-01  1.97333193E-04  6.89874706E-02 -1.60442820E-03  9.17311504E-03
  8.98470975E-01  8.31800130E-01  1.78128785E-01  1.89450635E-04  6.86659562E-02 -1.54481539E-03  9.14988027E-03
  9.00761140E-01  8.23836380E-01  1.78778801E-01  1.82184305E-04  6.83296946E-02 -1.48596947E-03  9.12587258E-03
  9.03020122E-01  8.15681273E-01  1.79367670E-01  1.75496665E-04  6.79783819E-02 -1.42794533E-03  9.10113303E-03
  9.05248345E-01  8.07331300E-01  1.79891789E-01  1.69348016E-04  6.76117187E-02 -1.37079549E-03  9.07570449E-03
  9.07446229E-01  7.98783131E-01  1.80347499E-01  1.63697412E-04  6.72294142E-02 -1.31457001E-03  9.04963158E-03
  9.09614186E-01  7.90033638E-01  1.80731086E-01  1.58503492E-04  6.68311911E-02 -1.25931638E-03  9.02296060E-03
  9.11752625E-01  7.81079927E-01  1.81038778E-01  1.53725218E-04  6.64167892E-02 -1.20507943E-03  8.99573941E-03
  9.13861946E-01  7.71919360E-01  1.81266748E-01  1.49322531E-04  6.59859698E-02 -1.15190123E-03  8.96801732E-03
  9.15942546E-01  7.62549588E-01  1.81411115E-01  1.45256911E-04  6.55385192E-02 -1.09982104E-03  8.93984494E-03
  9.17994817E-01  7.52968577E-01  1.81467951E-01  1.41491839E-04  6.50742522E-02 -1.04887528E-03  8.91127411E-03
  9.20019144E-01  7.43174638E-01  1.81433281E-01  1.37993166E-04  6.45930160E-02 -9.99097417E-04  8.88235767E-03
  9.22015907E-01  7.33166457E-01  1.81303094E-01  1.34729362E-04  6.40946922E-02 -9.50518032E-04  8.85314937E-03
  9.23985483E-01  7.22943122E-01  1.81073349E-01  1.31671667E-04  6.35791991E-02 -9.03164739E-04  8.82370372E-03
  9.25928241E-01  7.12504154E-01  1.80739990E-01  1.28794131E-04  6.30464929E-02 -8.57062201E-04  8.79407576E-03
  9.27844545E-01  7.01849533E-01  1.80298956E-01  1.26073544E-04  6.24965670E-02 -8.12232131E-04  8.76432095E-03
  9.29734758E-01  6.90979728E-01  1.79746202E-01  1.23489284E-04  6.19294509E-02 -7.68693300E-04  8.73449492E-03
  9.31599233E-01  6.79895720E-01  1.79077715E-01  1.21023082E-04  6.13452061E-02 -7.26461553E-04  8.70465330E-03
  9.33438321E-01  6.68599035E-01  1.78289540E-01  1.18658729E-04  6.07439223E-02 -6.85549841E-04  8.67485147E-03
  9.35252368E-01  6.57091762E-01  1.77377801E-01  1.16381751E-04  6.01257107E-02 -6.45968252E-04  8.64514431E-03
  9.37041715E-01  6.45376578E-01  1.76338734E-01  1.14179071E-04  5.94906965E-02 -6.07724059E-04  8.61558602E-03
  9.38806698E-01  6.33456771E-01  1.75168710E-01  1.12038679E-04  5.88390106E-02 -5.70821774E-04  8.58622983E-03
